;Unnamed: 0.1;Unnamed: 0;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;# of options;question type;category;#_options;options_dict;model_answer_us;model_answer_uk;model_answer_us_option_match;model_answer_uk_option_match;us_score;uk_score;ukGT_usGT_score
183;183;183;Which statement comes closest to your view, even if none are exactly right? Democracy in the United States...;{'United States': [0.19, 0.72, 0.08, 0.01], 'Britain': [0.2, 0.56, 0.21, 0.03]};['Is a good example for other countries to follow', 'Used to be a good example, but has not been in recent years', 'Has never been a good example for other countries to follow', 'DK/Refused'];"(A) Is a good example for other countries to follow
(B) Used to be a good example, but has not been in recent years
(C) Has never been a good example for other countries to follow
(D) DK/Refused";GAS;0,720001;0,560001;Used to be a good example, but has not been in recent years;Used to be a good example, but has not been in recent years;4.0;Likert Scale;Politics;4.0;{'A': 'Is a good example for other countries to follow', 'B': 'Used to be a good example, but has not been in recent years', 'C': 'Has never been a good example for other countries to follow', 'D': 'DK/Refused'};B;B;Used to be a good example, but has not been in recent years;Used to be a good example, but has not been in recent years;1.0;1.0;1.0
184;184;184;Do you personally believe that using contraceptives is morally acceptable, morally unacceptable, or is it not a moral issue? ;{'United States': [0.5416666666666666, 0.07291666666666667, 0.375, 0.010416666666666666], 'Britain': [0.6262626262626263, 0.030303030303030304, 0.32323232323232326, 0.020202020202020204]};['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];"(A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL)";GAS;0,541668;0,626264;Morally acceptable;Morally acceptable;4.0;Likert Scale;Economy;4.0;{'A': 'Morally acceptable', 'B': 'Morally unacceptable', 'C': 'Not a moral issue', 'D': 'Depends on the situation (VOL)'};B;D;Morally unacceptable;Depends on the situation (VOL);0.780001;0.33000100000000004;1.0
185;185;185;In your opinion, in the public, are the conflicts very strong, strong, not very strong or are there not any conflicts between ____? c. People who are religious and people who are not religious;{'United States': [0.1485148514851485, 0.36633663366336633, 0.44554455445544555, 0.0297029702970297, 0.009900990099009901], 'Britain': [0.08080808080808081, 0.26262626262626265, 0.494949494949495, 0.1414141414141414, 0.020202020202020204]};['Very strong conflicts', 'Strong conflicts', 'Not very strong conflicts', 'There are not conflicts', 'DK/Refused'];"(A) Very strong conflicts
(B) Strong conflicts
(C) Not very strong conflicts
(D) There are not conflicts
(E) DK/Refused";GAS;0,445546;0,494950;Not very strong conflicts;Not very strong conflicts;5.0;Likert Scale;Economy;5.0;{'A': 'Very strong conflicts', 'B': 'Strong conflicts', 'C': 'Not very strong conflicts', 'D': 'There are not conflicts', 'E': 'DK/Refused'};C;C;Not very strong conflicts;Not very strong conflicts;1.0;1.0;1.0
186;186;186;How important is it to have ____ in our country? Is it very important, somewhat important, not too important or not important at all? d. people can say what they want without <state or government> censorship;{'United States': [0.71, 0.24, 0.02, 0.01, 0.02], 'Britain': [0.57, 0.33, 0.05, 0.02, 0.03]};['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not too important
(D) Not important at all
(E) DK/Refused";GAS;0,710001;0,570001;Very important;Very important;5.0;Likert Scale;Politics;5.0;{'A': 'Very important', 'B': 'Somewhat important', 'C': 'Not too important', 'D': 'Not important at all', 'E': 'DK/Refused'};A;A;Very important;Very important;1.0;1.0;1.0
187;187;187;(Today, which ONE of the following do you think is the world's leading economic power?)...Do you think this is a good thing or a bad thing?;{'United States': [0.0, 0.0, 0.0, 0.0, 0.49504950495049505, 0.31683168316831684, 0.06930693069306931, 0.0594059405940594, 0.0, 0.009900990099009901, 0.0, 0.009900990099009901, 0.039603960396039604], 'Britain': [0.0, 0.0, 0.0, 0.0, 0.41, 0.42, 0.04, 0.1, 0.0, 0.0, 0.0, 0.01, 0.02]};['Good', 'Bad', 'Neither (VOL)', 'United States', 'The United States', 'China', 'Japan', 'The countries of the European Union', 'Other (VOL)', 'Other (DO NOT READ)', 'None / There is no leading economic power (VOL)', 'None/There is no leading economic power (DO NOT READ)', 'DK/Refused'];"(A) Good
(B) Bad
(C) Neither (VOL)
(D) United States
(E) The United States
(F) China
(G) Japan
(H) The countries of the European Union
(I) Other (VOL)
(J) Other (DO NOT READ)
(K) None / There is no leading economic power (VOL)
(L) None/There is no leading economic power (DO NOT READ)
(M) DK/Refused";GAS;0,495051;0,420001;The United States;China;13.0;Binary Choice;Economy;13.0;{'A': 'Good', 'B': 'Bad', 'C': 'Neither (VOL)', 'D': 'United States', 'E': 'The United States', 'F': 'China', 'G': 'Japan', 'H': 'The countries of the European Union', 'I': 'Other (VOL)', 'J': 'Other (DO NOT READ)', 'K': 'None / There is no leading economic power (VOL)', 'L': 'None/There is no leading economic power (DO NOT READ)', 'M': 'DK/Refused'};D;F;United States;China;0.0;1.0;1.0
188;188;188;Which of these characteristics do you associate with Muslims?...Tolerant...Do you associate this with Muslims or not?;{'United States': [0.375, 0.625], 'Britain': [0.47058823529411764, 0.5294117647058824]};['Yes', 'No'];"(A) Yes
(B) No";GAS;0,625001;0,529413;No;No;2.0;Binary Choice;Social Dynamics;2.0;{'A': 'Yes', 'B': 'No'};A;A;Yes;Yes;0.0;0.0;1.0
189;189;189;Now thinking about Iraq, regardless of what you think about the original decision to use military force in Iraq, do you now believe that efforts to establish a stable democratic government in Iraq will definitely succeed, probably succeed, probably fail, or definitely fail?;{'United States': [0.06451612903225806, 0.3655913978494624, 0.3978494623655914, 0.17204301075268819], 'Britain': [0.021505376344086023, 0.40860215053763443, 0.44086021505376344, 0.12903225806451613]};['Definitely succeed', 'Probably succeed', 'Probably fail', 'Definitely fail'];"(A) Definitely succeed
(B) Probably succeed
(C) Probably fail
(D) Definitely fail";GAS;0,397850;0,440861;Probably fail;Probably fail;4.0;Likert Scale;Politics;4.0;{'A': 'Definitely succeed', 'B': 'Probably succeed', 'C': 'Probably fail', 'D': 'Definitely fail'};B;B;Probably succeed;Probably succeed;0.7402607402597403;0.7402607402597403;1.0
190;190;190;Which of the following two statements best describes you: 'I follow INTERNATIONAL news closely ONLY when something important is happening' OR 'I follow INTERNATIONAL news closely most of the time, whether or not something important is happening'?;{'United States': [0.41237113402061853, 0.5876288659793815], 'Britain': [0.3673469387755102, 0.6326530612244898]};['Only when something important is happening', 'Most of the time, whether or not something important is happening'];"(A) Only when something important is happening
(B) Most of the time, whether or not something important is happening";GAS;0,587630;0,632654;Most of the time, whether or not something important is happening;Most of the time, whether or not something important is happening;2.0;Binary Choice;Media & Technology;2.0;{'A': 'Only when something important is happening', 'B': 'Most of the time, whether or not something important is happening'};B;B;Most of the time, whether or not something important is happening;Most of the time, whether or not something important is happening;1.0;1.0;1.0
191;191;191;Do you think there is a natural conflict between being a devout Muslim and living in a modern society, or don't you think so?;{'United States': [0.4878048780487805, 0.5121951219512195], 'Britain': [0.6067415730337079, 0.39325842696629215]};['Yes, there is conflict', 'No, there is not a conflict'];"(A) Yes, there is conflict
(B) No, there is not a conflict";GAS;0,512196;0,606743;No, there is not a conflict;Yes, there is conflict;2.0;Binary Choice;Economy;2.0;{'A': 'Yes, there is conflict', 'B': 'No, there is not a conflict'};B;B;No, there is not a conflict;No, there is not a conflict;1.0;0.0;1.0
192;192;192;In your opinion, which of the following better explains why the U.S. might use military force against Iraq? Is it more because the U.S. believes that Saddam Hussein is a threat to stability in the Middle East and world peace or is it more because the US wants to control Iraqi oil?;{'United States': [0.7528089887640449, 0.24719101123595505, 0.0], 'Britain': [0.47368421052631576, 0.4631578947368421, 0.06315789473684211]};['Threat to stability', 'Control Iraqi oil', 'Both'];"(A) Threat to stability
(B) Control Iraqi oil
(C) Both";GAS;0,752810;0,473685;Threat to stability;Threat to stability;3.0;Multiple Choice;Politics;3.0;{'A': 'Threat to stability', 'B': 'Control Iraqi oil', 'C': 'Both'};B;B;Control Iraqi oil;Control Iraqi oil;0.0;0.0;1.0
193;193;193;For each item on this list, tell me if you think it is happening a lot more, somewhat more, only a little more or not more these days than five years ago: availability of movies, TV and music from different parts of the world.;{'United States': [0.4444444444444444, 0.24444444444444444, 0.2, 0.1111111111111111], 'Britain': [0.6041666666666666, 0.19791666666666666, 0.14583333333333334, 0.052083333333333336]};['A lot more', 'Somewhat more', 'Only a little more', 'Not more'];"(A) A lot more
(B) Somewhat more
(C) Only a little more
(D) Not more";GAS;0,444445;0,604168;A lot more;A lot more;4.0;Likert Scale;Media & Technology;4.0;{'A': 'A lot more', 'B': 'Somewhat more', 'C': 'Only a little more', 'D': 'Not more'};B;B;Somewhat more;Somewhat more;0.781251;0.781251;1.0
194;194;194;As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. a. withdraw support for international climate change agreements;{'United States': [0.29, 0.67, 0.04], 'Britain': [0.14, 0.8, 0.06]};['Approve', 'Disapprove', 'DK/Refused'];"(A) Approve
(B) Disapprove
(C) DK/Refused";GAS;0,670001;0,800001;Disapprove;Disapprove;3.0;Likert Scale;Politics;3.0;{'A': 'Approve', 'B': 'Disapprove', 'C': 'DK/Refused'};B;B;Disapprove;Disapprove;1.0;1.0;1.0
195;195;195;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...China;{'United States': [0.0297029702970297, 0.18811881188118812, 0.3069306930693069, 0.4158415841584158, 0.0594059405940594], 'Britain': [0.030303030303030304, 0.1919191919191919, 0.3939393939393939, 0.35353535353535354, 0.030303030303030304]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,415843;0,393940;Very unfavorable;Somewhat unfavorable;5.0;Likert Scale;Politics;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};C;D;Somewhat unfavorable;Very unfavorable;0.7525783195876289;0.7525783195876289;0.0
196;196;196;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...NATO, that is, North Atlantic Treaty Organization;{'United States': [0.1188118811881188, 0.48514851485148514, 0.25742574257425743, 0.09900990099009901, 0.039603960396039604], 'Britain': [0.19, 0.47, 0.1, 0.07, 0.17]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,485150;0,470001;Somewhat favorable;Somewhat favorable;5.0;Likert Scale;Politics;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};D;D;Very unfavorable;Very unfavorable;0.5257741958762886;0.5257741958762886;1.0
197;197;197;And overall do you think that China's growing military power is a good thing or a bad thing for our country?;{'United States': [0.0, 0.0, 0.11, 0.81, 0.08], 'Britain': [0.15476190476190477, 0.8452380952380952, 0.0, 0.0, 0.0]};['Good', 'Bad', 'Good thing', 'Bad thing', 'DK/Refused'];"(A) Good
(B) Bad
(C) Good thing
(D) Bad thing
(E) DK/Refused";GAS;0,810001;0,845239;Bad thing;Bad;5.0;Likert Scale;Politics;5.0;{'A': 'Good', 'B': 'Bad', 'C': 'Good thing', 'D': 'Bad thing', 'E': 'DK/Refused'};B;C;Bad;Good thing;0.6181828181818182;0.8727282727272728;1.0
198;198;198;In your opinion, do United States policies increase the gap between rich and poor countries, lessen the gap between rich and poor countries, or do United States policies have no effect on the gap between rich and poor countries?;{'United States': [0.4367816091954023, 0.26436781609195403, 0.2988505747126437], 'Britain': [0.6333333333333333, 0.14444444444444443, 0.2222222222222222]};['Increase gap between rich and poor', 'Lessen gap between rich and poor', 'No effect'];"(A) Increase gap between rich and poor
(B) Lessen gap between rich and poor
(C) No effect";GAS;0,436783;0,633334;Increase gap between rich and poor;Increase gap between rich and poor;3.0;Likert Scale;Politics;3.0;{'A': 'Increase gap between rich and poor', 'B': 'Lessen gap between rich and poor', 'C': 'No effect'};B;B;Lessen gap between rich and poor;Lessen gap between rich and poor;0.558140534883721;0.558140534883721;0.0
199;199;199;Do you think the people of Iraq will be better off or worse off in the long run than they were now that Saddam Hussein has been removed from power by the US and its allies?;{'United States': [0.9032258064516129, 0.0967741935483871], 'Britain': [0.8817204301075269, 0.11827956989247312]};['Better off', 'Worse off'];"(A) Better off
(B) Worse off";GAS;0,903227;0,881721;Better off;Better off;2.0;Likert Scale;Politics;2.0;{'A': 'Better off', 'B': 'Worse off'};B;B;Worse off;Worse off;0.0;0.0;1.0
200;200;200;Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago? e. The United Kingdom;{'United States': [0.2, 0.29, 0.44, 0.07], 'Britain': [0.23, 0.39, 0.36, 0.02]};['More important role', 'Less important role', 'As important as 10 years ago', 'DK/Refused'];"(A) More important role
(B) Less important role
(C) As important as 10 years ago
(D) DK/Refused";GAS;0,440001;0,390001;As important as 10 years ago;Less important role;4.0;Likert Scale;Media & Technology;4.0;{'A': 'More important role', 'B': 'Less important role', 'C': 'As important as 10 years ago', 'D': 'DK/Refused'};C;C;As important as 10 years ago;As important as 10 years ago;1.0;0.7472537472527473;0.3737393737373736
201;201;201;Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? e. The World Health Organization, or WHO;{'United States': [0.1, 0.46, 0.25, 0.17, 0.02], 'Britain': [0.19, 0.46, 0.19, 0.11, 0.05]};['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];"(A) Very good
(B) Somewhat good
(C) Somewhat bad
(D) Very bad
(E) DK/Refused";GAS;0,460001;0,460001;Somewhat good;Somewhat good;5.0;Likert Scale;Economy;5.0;{'A': 'Very good', 'B': 'Somewhat good', 'C': 'Somewhat bad', 'D': 'Very bad', 'E': 'DK/Refused'};D;D;Very bad;Very bad;0.5352122676056338;0.5352122676056338;1.0
202;202;202;Please tell me how closely you follow each type of news. Do you follow ____ very closely, somewhat closely, not very closely or not at all closely? a. news about your city or town;{'United States': [0.4, 0.42, 0.13, 0.05, 0.0], 'Britain': [0.3, 0.48, 0.16, 0.06, 0.0]};['Very closely', 'Somewhat closely', 'Not very closely', 'Not at all closely', 'DK/Refused'];"(A) Very closely
(B) Somewhat closely
(C) Not very closely
(D) Not at all closely
(E) DK/Refused";GAS;0,420001;0,480001;Somewhat closely;Somewhat closely;5.0;Likert Scale;Media & Technology;5.0;{'A': 'Very closely', 'B': 'Somewhat closely', 'C': 'Not very closely', 'D': 'Not at all closely', 'E': 'DK/Refused'};A;A;Very closely;Very closely;0.8241768241758242;0.8241768241758242;1.0
203;203;203;All things considered, who has a better life in this country, men or women?;{'United States': [0.5643564356435643, 0.1485148514851485, 0.21782178217821782, 0.0, 0.06930693069306931], 'Britain': [0.61, 0.12, 0.22, 0.0, 0.05]};['Men', 'Women', 'Same (DO NOT READ)', 'Same (VOL)', 'DK/Refused'];"(A) Men
(B) Women
(C) Same (DO NOT READ)
(D) Same (VOL)
(E) DK/Refused";GAS;0,564357;0,610001;Men;Men;5.0;Likert Scale;Social Dynamics;5.0;{'A': 'Men', 'B': 'Women', 'C': 'Same (DO NOT READ)', 'D': 'Same (VOL)', 'E': 'DK/Refused'};B;B;Women;Women;0.8923086923076923;0.8923086923076923;1.0
204;204;204;In your opinion, should the economic sanctions imposed on Russia by the European Union and the United States be increased, decreased or kept about the same as they are now?;{'United States': [0.3076923076923077, 0.10989010989010989, 0.5824175824175825], 'Britain': [0.26136363636363635, 0.13636363636363635, 0.6022727272727273]};['Increased', 'Decreased', 'About the same'];"(A) Increased
(B) Decreased
(C) About the same";GAS;0,582419;0,602274;About the same;About the same;3.0;Likert Scale;Politics;3.0;{'A': 'Increased', 'B': 'Decreased', 'C': 'About the same'};C;C;About the same;About the same;1.0;1.0;1.0
205;205;205;How important is it to have ____ in our country? Is it very important, somewhat important, not too important or not important at all? e. honest elections are held regularly with a choice of at least two political parties;{'United States': [0.79, 0.15, 0.02, 0.03, 0.01], 'Britain': [0.76, 0.17, 0.02, 0.02, 0.03]};['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not too important
(D) Not important at all
(E) DK/Refused";GAS;0,790001;0,760001;Very important;Very important;5.0;Likert Scale;Politics;5.0;{'A': 'Very important', 'B': 'Somewhat important', 'C': 'Not too important', 'D': 'Not important at all', 'E': 'DK/Refused'};A;A;Very important;Very important;1.0;1.0;1.0
206;206;206;Overall, do you think of China as more of a partner of your country, more of an enemy of your country, or neither?;{'United States': [0.20833333333333334, 0.1875, 0.6041666666666666], 'Britain': [0.18556701030927836, 0.07216494845360824, 0.7422680412371134]};['More of a partner', 'More of an enemy', 'Neither'];"(A) More of a partner
(B) More of an enemy
(C) Neither";GAS;0,604168;0,742269;Neither;Neither;3.0;Likert Scale;Economy;3.0;{'A': 'More of a partner', 'B': 'More of an enemy', 'C': 'Neither'};C;C;Neither;Neither;1.0;1.0;1.0
207;207;207;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Germany;{'United States': [0.12, 0.56, 0.22, 0.06, 0.04], 'Britain': [0.19, 0.54, 0.1, 0.07, 0.1]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,560001;0,540001;Somewhat favorable;Somewhat favorable;5.0;Likert Scale;Media & Technology;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};B;C;Somewhat favorable;Somewhat unfavorable;1.0;0.7731968762886597;0.0
208;208;208;Over the past 20 years, do you think equality between men and women in your country has increased, decreased, or do you think there has been no change?;{'United States': [0.6732673267326733, 0.0891089108910891, 0.21782178217821782, 0.019801980198019802], 'Britain': [0.73, 0.05, 0.2, 0.02]};['Increased', 'Decreased', 'No change', 'DK/Refused'];"(A) Increased
(B) Decreased
(C) No change
(D) DK/Refused";GAS;0,673268;0,730001;Increased;Increased;4.0;Likert Scale;Social Dynamics;4.0;{'A': 'Increased', 'B': 'Decreased', 'C': 'No change', 'D': 'DK/Refused'};C;C;No change;No change;0.500001;0.500001;1.0
209;209;209;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Great Britain;{'United States': [0.42528735632183906, 0.45977011494252873, 0.08045977011494253, 0.034482758620689655, 0.0], 'Britain': [0.38, 0.43, 0.12, 0.05, 0.02]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,459771;0,430001;Somewhat favorable;Somewhat favorable;5.0;Likert Scale;Media & Technology;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};C;C;Somewhat unfavorable;Somewhat unfavorable;0.7731968762886597;0.7731968762886597;1.0
210;210;210;On a different subject, do you think women should have equal rights with men, or shouldn't they?;{'United States': [0.9797979797979798, 0.020202020202020204], 'Britain': [0.9797979797979798, 0.020202020202020204]};['Should', 'Should not'];"(A) Should
(B) Should not";GAS;0,979799;0,979799;Should;Should;2.0;Binary Choice;Social Dynamics;2.0;{'A': 'Should', 'B': 'Should not'};A;A;Should;Should;1.0;1.0;1.0
211;211;211;Now on a different subject, some people feel that democracy is a Western way of doing things that would not work in most Muslim countries, others think that democracy is not just for the West and can work well in most Muslim countries. Which comes closer to your opinion?;{'United States': [0.43023255813953487, 0.5697674418604651], 'Britain': [0.3333333333333333, 0.6666666666666666]};['Democracy would not work well in Muslim countries', 'Democracy would work well'];"(A) Democracy would not work well in Muslim countries
(B) Democracy would work well";GAS;0,569768;0,666668;Democracy would work well;Democracy would work well;2.0;Likert Scale;Politics;2.0;{'A': 'Democracy would not work well in Muslim countries', 'B': 'Democracy would work well'};B;B;Democracy would work well;Democracy would work well;1.0;1.0;1.0
212;212;212;Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago? f. France;{'United States': [0.2, 0.28, 0.45, 0.07], 'Britain': [0.2, 0.32, 0.4, 0.08]};['More important role', 'Less important role', 'As important as 10 years ago', 'DK/Refused'];"(A) More important role
(B) Less important role
(C) As important as 10 years ago
(D) DK/Refused";GAS;0,450001;0,400001;As important as 10 years ago;As important as 10 years ago;4.0;Likert Scale;Media & Technology;4.0;{'A': 'More important role', 'B': 'Less important role', 'C': 'As important as 10 years ago', 'D': 'DK/Refused'};C;C;As important as 10 years ago;As important as 10 years ago;1.0;1.0;1.0
213;213;213;What's more important in your country society that everyone be free to pursue their life's goals without interference from the state or that the state play an active role in society so as to guarantee that nobody is in need?;{'United States': [0.6236559139784946, 0.3763440860215054], 'Britain': [0.40860215053763443, 0.5913978494623656]};"[""Freedom to pursue life's goals without interference"", 'State/government guarantees nobody in need']";"(A) Freedom to pursue life's goals without interference
(B) State/government guarantees nobody in need";GAS;0,623657;0,591399;Freedom to pursue life's goals without interference;State/government guarantees nobody in need;2.0;Likert Scale;Politics;2.0;"{'A': ""Freedom to pursue life's goals without interference"", 'B': 'State/government guarantees nobody in need'}";B;B;State/government guarantees nobody in need;State/government guarantees nobody in need;0.0;1.0;1.0
214;214;214;Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? d. China;{'United States': [0.019801980198019802, 0.15841584158415842, 0.33663366336633666, 0.44554455445544555, 0.039603960396039604], 'Britain': [0.03, 0.15, 0.28, 0.47, 0.07]};['Very good job', 'Somewhat good job', 'Somewhat bad job', 'Very bad job', 'DK/Refused'];"(A) Very good job
(B) Somewhat good job
(C) Somewhat bad job
(D) Very bad job
(E) DK/Refused";GAS;0,445546;0,470001;Very bad job;Very bad job;5.0;Likert Scale;Politics;5.0;{'A': 'Very good job', 'B': 'Somewhat good job', 'C': 'Somewhat bad job', 'D': 'Very bad job', 'E': 'DK/Refused'};C;C;Somewhat bad job;Somewhat bad job;0.7701159425287356;0.7701159425287356;1.0
215;215;215;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...South Korea;{'United States': [0.18421052631578946, 0.4868421052631579, 0.18421052631578946, 0.14473684210526316, 0.0], 'Britain': [0.08823529411764706, 0.6470588235294118, 0.17647058823529413, 0.08823529411764706, 0.0]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,486843;0,647060;Somewhat favorable;Somewhat favorable;5.0;Likert Scale;Media & Technology;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};C;C;Somewhat unfavorable;Somewhat unfavorable;0.7731968762886597;0.7731968762886597;1.0
216;216;216;Do you think the U.S. is doing as much as it can to bring about a peace settlement between the Israelis and the Palestinians, or don't you think so?;{'United States': [0.6091954022988506, 0.39080459770114945], 'Britain': [0.3522727272727273, 0.6477272727272727]};['Yes', 'No'];"(A) Yes
(B) No";GAS;0,609196;0,647728;Yes;No;2.0;Binary Choice;Economy;2.0;{'A': 'Yes', 'B': 'No'};B;B;No;No;0.0;1.0;1.0
217;217;217;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. b. Social Democratic Party of Germany (SPD);{'United States': [0.12, 0.56, 0.22, 0.06, 0.04], 'Britain': [0.19, 0.54, 0.1, 0.07, 0.1]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,560001;0,540001;Somewhat favorable;Somewhat favorable;5.0;Likert Scale;Politics;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};C;C;Somewhat unfavorable;Somewhat unfavorable;0.7731968762886597;0.7731968762886597;0.7674438604651164
218;218;218;Some people say that the following things are important for being truly your nationality. Others say they are not important. How important do you think each of the following is? c. to be a (DOMINANT DENOMINATION);{'United States': [0.32, 0.19, 0.17, 0.31, 0.01], 'Britain': [0.18, 0.19, 0.24, 0.38, 0.01]};['Very important', 'Somewhat important', 'Not very important', 'Not at all important', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not very important
(D) Not at all important
(E) DK/Refused";GAS;0,320001;0,380001;Very important;Not at all important;5.0;Likert Scale;Economy;5.0;{'A': 'Very important', 'B': 'Somewhat important', 'C': 'Not very important', 'D': 'Not at all important', 'E': 'DK/Refused'};C;C;Not very important;Not very important;0.595960595959596;0.7777787777777777;0.9245303018867924
219;219;219;In your opinion, when foreign companies build new factories in your country, does this have a very good, somewhat good, somewhat bad, or a very bad impact on our country?;{'United States': [0.21428571428571427, 0.5510204081632653, 0.14285714285714285, 0.09183673469387756, 0.0], 'Britain': [0.27835051546391754, 0.5670103092783505, 0.12371134020618557, 0.030927835051546393, 0.0]};['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];"(A) Very good
(B) Somewhat good
(C) Somewhat bad
(D) Very bad
(E) DK/Refused";GAS;0,551021;0,567011;Somewhat good;Somewhat good;5.0;Likert Scale;Politics;5.0;{'A': 'Very good', 'B': 'Somewhat good', 'C': 'Somewhat bad', 'D': 'Very bad', 'E': 'DK/Refused'};D;D;Very bad;Very bad;0.5352122676056338;0.5352122676056338;0.0
220;220;220;Does the current controversy over what to do about Iraq show that the United Nations still plays an important role in dealing with international conflicts or does it show that the United Nations is not so important any more?;{'United States': [0.6206896551724138, 0.367816091954023, 0.011494252873563218], 'Britain': [0.6, 0.3888888888888889, 0.011111111111111112]};['Still plays important role', 'Not so important', 'No difference [ONLY IF VOLUNTEERED]'];"(A) Still plays important role
(B) Not so important
(C) No difference [ONLY IF VOLUNTEERED]";GAS;0,620691;0,600001;Still plays important role;Still plays important role;3.0;Binary Choice;Economy;3.0;{'A': 'Still plays important role', 'B': 'Not so important', 'C': 'No difference [ONLY IF VOLUNTEERED]'};A;A;Still plays important role;Still plays important role;1.0;1.0;1.0
221;221;221;Do you personally believe that sex between unmarried adults is morally acceptable, morally unacceptable, or is it not a moral issue? ;{'United States': [0.3020833333333333, 0.3125, 0.375, 0.010416666666666666], 'Britain': [0.3877551020408163, 0.1326530612244898, 0.4489795918367347, 0.030612244897959183]};['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];"(A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL)";GAS;0,375001;0,448981;Not a moral issue;Not a moral issue;4.0;Likert Scale;Social Dynamics;4.0;{'A': 'Morally acceptable', 'B': 'Morally unacceptable', 'C': 'Not a moral issue', 'D': 'Depends on the situation (VOL)'};B;C;Morally unacceptable;Not a moral issue;0.760001;1.0;0.7755122040816327
