;Unnamed: 0.1;Unnamed: 0;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;# of options;question type;category;#_options;options_dict;model_answer_us;model_answer_uk;model_answer_us_option_match;model_answer_uk_option_match;uk_score;us_score;ukGT_usGT_score
120;120;120;I'd like your opinion about some possible international concerns for your country. What if the Taliban regained control of Afghanistan, would this be a major threat, a minor threat or not a threat to the well being of your country?;{'United States': [0.7916666666666666, 0.17708333333333334, 0.03125], 'Britain': [0.631578947368421, 0.28421052631578947, 0.08421052631578947]};['Major threat', 'Minor threat', 'Not a threat'];"(A) Major threat
(B) Minor threat
(C) Not a threat";GAS;0,791668;0,631580;Major threat;Major threat;3.0;Likert Scale;Economy;3.0;{'A': 'Major threat', 'B': 'Minor threat', 'C': 'Not a threat'};B;B;Minor threat;Minor threat;0.6595754680851064;0.6595754680851064;1.0
121;121;121;I'd like your opinion about some possible international concerns for your country. Do you think that political instability in Pakistan is a major threat, a minor threat or not a threat to your country? ;{'United States': [0.4111111111111111, 0.4777777777777778, 0.1111111111111111], 'Britain': [0.34065934065934067, 0.5164835164835165, 0.14285714285714285]};['Major threat', 'Minor threat', 'Not a threat'];"(A) Major threat
(B) Minor threat
(C) Not a threat";GAS;0,477779;0,516485;Minor threat;Minor threat;3.0;Likert Scale;Economy;3.0;{'A': 'Major threat', 'B': 'Minor threat', 'C': 'Not a threat'};B;B;Minor threat;Minor threat;1.0;1.0;1.0
122;122;122;Do you think media organizations should be able to publish information about these types of things OR the government should be able to prevent media organizations from publishing information about these types of things in some circumstances. c. sensitive issues related to national security;{'United States': [0.35, 0.59, 0.06], 'Britain': [0.29, 0.66, 0.05]};['Media organizations should be able to publish information about these things', 'Government should be able to prevent media organizations from publishing information about these things', 'DK/Refused'];"(A) Media organizations should be able to publish information about these things
(B) Government should be able to prevent media organizations from publishing information about these things
(C) DK/Refused";GAS;0,590001;0,660001;Government should be able to prevent media organizations from publishing information about these things;Government should be able to prevent media organizations from publishing information about these things;3.0;Binary Choice;Politics;3.0;{'A': 'Media organizations should be able to publish information about these things', 'B': 'Government should be able to prevent media organizations from publishing information about these things', 'C': 'DK/Refused'};B;B;Government should be able to prevent media organizations from publishing information about these things;Government should be able to prevent media organizations from publishing information about these things;1.0;1.0;1.0
123;123;123;What do you think about the growing trade and business ties between your country and other countries - do you think it is a very good thing, somewhat good, somewhat bad or a very bad thing for our country?;{'United States': [0.31, 0.43, 0.14, 0.07, 0.05], 'Britain': [0.5, 0.39, 0.06, 0.02, 0.03]};['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];"(A) Very good
(B) Somewhat good
(C) Somewhat bad
(D) Very bad
(E) DK/Refused";GAS;0,430001;0,500001;Somewhat good;Very good;5.0;Likert Scale;Politics;5.0;{'A': 'Very good', 'B': 'Somewhat good', 'C': 'Somewhat bad', 'D': 'Very bad', 'E': 'DK/Refused'};A;B;Very good;Somewhat good;0.8169024084507043;0.8169024084507043;0.7330230772833723
124;124;124;Please tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with the following statements...When jobs are scarce, men should have more right to a job than women;{'United States': [0.05, 0.08, 0.18, 0.67, 0.02], 'Britain': [0.050505050505050504, 0.09090909090909091, 0.1919191919191919, 0.6565656565656566, 0.010101010101010102]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree', 'DK/Refused'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree
(E) DK/Refused";GAS;0,670001;0,656567;Completely disagree;Completely disagree;5.0;Likert Scale;Social Dynamics;5.0;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree', 'E': 'DK/Refused'};B;D;Mostly agree;Completely disagree;1.0;0.6153856153846154;1.0
125;125;125;And as a consequence of the war, do you have more confidence or less confidence that the US wants to promote democracy all around the world?;{'United States': [0.7419354838709677, 0.22580645161290322, 0.03225806451612903], 'Britain': [0.45054945054945056, 0.4945054945054945, 0.054945054945054944]};['More', 'Less', 'Same (VOL.)'];"(A) More
(B) Less
(C) Same (VOL.)";GAS;0,741936;0,494506;More;Less;3.0;Likert Scale;Politics;3.0;{'A': 'More', 'B': 'Less', 'C': 'Same (VOL.)'};B;B;Less;Less;1.0;0.7333343333333334;1.0
126;126;126;Which statement comes closer to your own views, even if neither is exactly right? We should reduce air pollution even if it means slower economic growth, Air pollution is the price we have to pay for continued economic growth;{'United States': [0.0, 0.0, 0.54, 0.0, 0.0, 0.45, 0.0, 0.01, 0.0, 0.0, 0.0], 'Britain': [0.0, 0.3401015228426396, 0.0, 0.0, 0.15228426395939088, 0.0, 0.0, 0.005076142131979695, 0.0, 0.350253807106599, 0.15228426395939088]};['We should reduce air pollution even if it means slower economic growth', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'Air pollution is the price we have to pay for continued economic growth', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'Both (VOL)', 'DK/Refused', 'Neither (VOL)', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];"(A) We should reduce air pollution even if it means slower economic growth
(B) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(C) Many of the problems facing our country can be solved by working with other countries
(D) Air pollution is the price we have to pay for continued economic growth
(E) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(F) Few of the problems facing our country can be solved by working with other countries
(G) Both (VOL)
(H) DK/Refused
(I) Neither (VOL)
(J) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(K) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree";GAS;0,540001;0,350255;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;11.0;Likert Scale;Politics;11.0;{'A': 'We should reduce air pollution even if it means slower economic growth', 'B': 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'C': 'Many of the problems facing our country can be solved by working with other countries', 'D': 'Air pollution is the price we have to pay for continued economic growth', 'E': 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'F': 'Few of the problems facing our country can be solved by working with other countries', 'G': 'Both (VOL)', 'H': 'DK/Refused', 'I': 'Neither (VOL)', 'J': 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'K': 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'};D;D;Air pollution is the price we have to pay for continued economic growth;Air pollution is the price we have to pay for continued economic growth;0.6332992086406745;0.9062180706006323;1.0
127;127;127;Now, thinking about some possible economic concerns for the country. Do you think that rising prices pose(s) a major threat, a minor threat, or no threat to the economic well being of your country? ;{'United States': [0.6530612244897959, 0.30612244897959184, 0.04081632653061224], 'Britain': [0.6836734693877551, 0.29591836734693877, 0.02040816326530612]};['Major threat', 'Minor threat', 'No threat'];"(A) Major threat
(B) Minor threat
(C) No threat";GAS;0,653062;0,683674;Major threat;Major threat;3.0;Likert Scale;Economy;3.0;{'A': 'Major threat', 'B': 'Minor threat', 'C': 'No threat'};B;B;Minor threat;Minor threat;0.6363646363636364;0.6363646363636364;1.0
128;128;128;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...British Prime Minister Tony Blair;{'United States': [0.4111111111111111, 0.4222222222222222, 0.07777777777777778, 0.044444444444444446, 0.044444444444444446], 'Britain': [0.14285714285714285, 0.37755102040816324, 0.24489795918367346, 0.23469387755102042, 0.0]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) Never heard of";GAS;0,422223;0,377552;Somewhat favorable;Somewhat favorable;5.0;Likert Scale;Politics;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'Never heard of'};B;B;Somewhat favorable;Somewhat favorable;1.0;1.0;0.6342561436464089
129;129;129;Now I'm going to read a list of political leaders. For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...U.S. Secretary of State Hillary Clinton.;{'United States': [0.35051546391752575, 0.422680412371134, 0.1134020618556701, 0.1134020618556701], 'Britain': [0.125, 0.53125, 0.19791666666666666, 0.14583333333333334]};['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];"(A) A lot of confidence
(B) Some confidence
(C) Not too much confidence
(D) No confidence at all";GAS;0,422681;0,531251;Some confidence;Some confidence;4.0;Likert Scale;Politics;4.0;{'A': 'A lot of confidence', 'B': 'Some confidence', 'C': 'Not too much confidence', 'D': 'No confidence at all'};B;B;Some confidence;Some confidence;1.0;1.0;1.0
130;130;130;I'd like your opinion about some possible international concerns for your country. Do you think that China's power and influence is a major threat, a minor threat or not a threat to your country? ;{'United States': [0.4631578947368421, 0.4, 0.1368421052631579], 'Britain': [0.3118279569892473, 0.4731182795698925, 0.21505376344086022]};['Major threat', 'Minor threat', 'Not a threat'];"(A) Major threat
(B) Minor threat
(C) Not a threat";GAS;0,463159;0,473119;Major threat;Minor threat;3.0;Likert Scale;Economy;3.0;{'A': 'Major threat', 'B': 'Minor threat', 'C': 'Not a threat'};B;B;Minor threat;Minor threat;1.0;0.6595754680851064;1.0
131;131;131;Now I am going to read you a list of things that may be problems in our country.As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...public debt;{'United States': [0.6494845360824743, 0.25773195876288657, 0.061855670103092786, 0.030927835051546393], 'Britain': [0.5510204081632653, 0.35714285714285715, 0.08163265306122448, 0.01020408163265306]};['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all";GAS;0,649486;0,551021;Very big problem;Very big problem;4.0;Likert Scale;Economy;4.0;{'A': 'Very big problem', 'B': 'Moderately big problem', 'C': 'Small problem', 'D': 'Not a problem at all'};A;A;Very big problem;Very big problem;1.0;1.0;1.0
132;132;132;How likely do you think it is that women in our country will eventually have the same rights as men – very likely, somewhat likely, not too likely or not at all likely?;{'United States': [0.45, 0.3, 0.07, 0.03, 0.14, 0.01], 'Britain': [0.5, 0.31, 0.09, 0.04, 0.05, 0.01]};['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely', 'Women already have the same rights as men (DO NOT READ)', 'DK/Refused'];"(A) Very likely
(B) Somewhat likely
(C) Not too likely
(D) Not at all likely
(E) Women already have the same rights as men (DO NOT READ)
(F) DK/Refused";GAS;0,450001;0,500001;Very likely;Very likely;6.0;Likert Scale;Social Dynamics;6.0;{'A': 'Very likely', 'B': 'Somewhat likely', 'C': 'Not too likely', 'D': 'Not at all likely', 'E': 'Women already have the same rights as men (DO NOT READ)', 'F': 'DK/Refused'};B;B;Somewhat likely;Somewhat likely;0.8965527241379311;0.8965527241379311;0.0
133;133;133;As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...Religion is a matter of personal faith and should be kept separate from government policy.;{'United States': [0.5612244897959183, 0.25510204081632654, 0.09183673469387756, 0.09183673469387756], 'Britain': [0.6666666666666666, 0.25252525252525254, 0.050505050505050504, 0.030303030303030304]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree";GAS;0,561225;0,666668;Completely agree;Completely agree;4.0;Likert Scale;Politics;4.0;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree'};B;B;Mostly agree;Mostly agree;0.7402607402597403;0.7402607402597403;1.0
134;134;134;Do you personally believe that gambling is morally acceptable, morally unacceptable, or is it not a moral issue? ;{'United States': [0.25510204081632654, 0.24489795918367346, 0.47959183673469385, 0.02040816326530612], 'Britain': [0.22448979591836735, 0.2653061224489796, 0.45918367346938777, 0.05102040816326531]};['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];"(A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL)";GAS;0,479593;0,459185;Not a moral issue;Not a moral issue;4.0;Likert Scale;Social Dynamics;4.0;{'A': 'Morally acceptable', 'B': 'Morally unacceptable', 'C': 'Not a moral issue', 'D': 'Depends on the situation (VOL)'};B;B;Morally unacceptable;Morally unacceptable;0.760001;0.760001;1.0
135;135;135;Which one of these comes closest to your opinion, number 1 or number 2?...#1 - Homosexuality should be accepted by society or #2 - Homosexuality should not be accepted by society;{'United States': [0.6451612903225806, 0.3548387096774194, 0.0, 0.0, 0.0], 'Britain': [0.8085106382978723, 0.19148936170212766, 0.0, 0.0, 0.0]};['Homosexuality is a way of life that should be accepted by society', 'Homosexuality is a way of life that should not be accepted by society', 'Homosexuality should be accepted by society', 'Homosexuality should not be accepted by society', 'DK/Refused'];"(A) Homosexuality is a way of life that should be accepted by society
(B) Homosexuality is a way of life that should not be accepted by society
(C) Homosexuality should be accepted by society
(D) Homosexuality should not be accepted by society
(E) DK/Refused";GAS;0,645162;0,808512;Homosexuality is a way of life that should be accepted by society;Homosexuality is a way of life that should be accepted by society;5.0;Likert Scale;Social Dynamics;5.0;{'A': 'Homosexuality is a way of life that should be accepted by society', 'B': 'Homosexuality is a way of life that should not be accepted by society', 'C': 'Homosexuality should be accepted by society', 'D': 'Homosexuality should not be accepted by society', 'E': 'DK/Refused'};C;C;Homosexuality should be accepted by society;Homosexuality should be accepted by society;0.43873617786561253;0.43873617786561253;1.0
136;136;136;Which comes closer to describing your view?...I like the pace of modern life, OR I do not like the pace of modern life;{'United States': [0.5, 0.5], 'Britain': [0.5204081632653061, 0.47959183673469385]};['I like the pace of modern life', 'I do not like the pace of modern life'];"(A) I like the pace of modern life
(B) I do not like the pace of modern life";GAS;0,500001;0,520409;I like the pace of modern life;I like the pace of modern life;2.0;Binary Choice;Social Dynamics;2.0;{'A': 'I like the pace of modern life', 'B': 'I do not like the pace of modern life'};B;B;I do not like the pace of modern life;I do not like the pace of modern life;0.0;0.0;0.7857162857142858
137;137;137;As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. d. Allowing fewer immigrants into the U.S.;{'United States': [0.44, 0.52, 0.04], 'Britain': [0.37, 0.59, 0.04]};['Approve', 'Disapprove', 'DK/Refused'];"(A) Approve
(B) Disapprove
(C) DK/Refused";GAS;0,520001;0,590001;Disapprove;Disapprove;3.0;Likert Scale;Politics;3.0;{'A': 'Approve', 'B': 'Disapprove', 'C': 'DK/Refused'};B;B;Disapprove;Disapprove;1.0;1.0;0.8048800487804878
138;138;138;Which statement comes closer to your view, even if neither is exactly right? (Survey public)'s economy is...;{'United States': [0.18592964824120603, 0.31155778894472363, 0.005025125628140704, 0.271356783919598, 0.22613065326633167], 'Britain': [0.504950495049505, 0.42574257425742573, 0.06930693069306931, 0.0, 0.0]};['Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system', 'Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system', 'DK/Refused', 'Many of the problems facing our country can be solved by working with other countries', 'Few of the problems facing our country can be solved by working with other countries'];"(A) Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system
(B) Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system
(C) DK/Refused
(D) Many of the problems facing our country can be solved by working with other countries
(E) Few of the problems facing our country can be solved by working with other countries";GAS;0,311559;0,504951;Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system;Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system;5.0;Likert Scale;Economy;5.0;{'A': 'Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system', 'B': 'Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system', 'C': 'DK/Refused', 'D': 'Many of the problems facing our country can be solved by working with other countries', 'E': 'Few of the problems facing our country can be solved by working with other countries'};A;A;Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system;Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system;1.0;0.7330220772833723;0.8241778241758242
139;139;139;Thinking about people in our country who do not have a job, in general would you say this is mostly their own fault or is it mostly because of forces outside their control?;{'United States': [0.18947368421052632, 0.8105263157894737], 'Britain': [0.24175824175824176, 0.7582417582417582]};['Mostly their own fault', 'Mostly because of forces outside their control'];"(A) Mostly their own fault
(B) Mostly because of forces outside their control";GAS;0,810527;0,758243;Mostly because of forces outside their control;Mostly because of forces outside their control;2.0;Likert Scale;Economy;2.0;{'A': 'Mostly their own fault', 'B': 'Mostly because of forces outside their control'};B;B;Mostly because of forces outside their control;Mostly because of forces outside their control;1.0;1.0;1.0
140;140;140;Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of media-such as tv, radio, newspapers,magazines very good, somewhat good, somewhat bad or very bad in your country?;{'United States': [0.08163265306122448, 0.37755102040816324, 0.3163265306122449, 0.22448979591836735], 'Britain': [0.10416666666666667, 0.4166666666666667, 0.34375, 0.13541666666666666]};['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad'];"(A) Very good
(B) Somewhat good
(C) Somewhat bad
(D) Very bad";GAS;0,377552;0,416668;Somewhat good;Somewhat good;4.0;Likert Scale;Politics;4.0;{'A': 'Very good', 'B': 'Somewhat good', 'C': 'Somewhat bad', 'D': 'Very bad'};C;C;Somewhat bad;Somewhat bad;0.7017553859649123;0.7017553859649123;1.0
141;141;141;Which of these characteristics do you associate with Muslims?...Fanatical...Do you associate this with Muslims or not?;{'United States': [0.45555555555555555, 0.5444444444444444], 'Britain': [0.5058823529411764, 0.49411764705882355]};['Yes', 'No'];"(A) Yes
(B) No";GAS;0,544445;0,505883;No;Yes;2.0;Binary Choice;Social Dynamics;2.0;{'A': 'Yes', 'B': 'No'};B;B;No;No;0.0;1.0;1.0
142;142;142;Do you agree or disagree with the following statement? A university education is more important for a boy than for a girl. Do you completely agree, mostly agree, mostly disagree or completely disagree?;{'United States': [0.04081632653061224, 0.11224489795918367, 0.23469387755102042, 0.6122448979591837], 'Britain': [0.020833333333333332, 0.07291666666666667, 0.16666666666666666, 0.7395833333333334]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree";GAS;0,612246;0,739584;Completely disagree;Completely disagree;4.0;Likert Scale;Social Dynamics;4.0;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree'};B;B;Mostly agree;Mostly agree;0.5454555454545454;0.5454555454545454;1.0
143;143;143;How much of a danger is the current government in...Syria to stability in the Middle East and world peace? A great danger, moderate danger, small danger, or no danger at all?;{'United States': [0.24444444444444444, 0.4888888888888889, 0.2, 0.06666666666666667], 'Britain': [0.13953488372093023, 0.47674418604651164, 0.23255813953488372, 0.1511627906976744]};['A great danger', 'Moderate danger', 'Small danger', 'No danger at all'];"(A) A great danger
(B) Moderate danger
(C) Small danger
(D) No danger at all";GAS;0,488890;0,476745;Moderate danger;Moderate danger;4.0;Likert Scale;Economy;4.0;{'A': 'A great danger', 'B': 'Moderate danger', 'C': 'Small danger', 'D': 'No danger at all'};B;B;Moderate danger;Moderate danger;1.0;1.0;0.0
144;144;144;"Which statement comes closer to your own views even if neither is exactly right?Some religions are more prone to violence than others; OR All religions are about the same when it comes to violence.";{'United States': [0.0, 0.0, 0.0, 0.0, 0.54, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.0, 0.0, 0.3401015228426396, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088]};['Some religions are more prone to violence than others', 'All religions are about the same when it comes to violence', 'Neither (VOL)', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];"(A) Some religions are more prone to violence than others
(B) All religions are about the same when it comes to violence
(C) Neither (VOL)
(D) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(E) Many of the problems facing our country can be solved by working with other countries
(F) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(G) Few of the problems facing our country can be solved by working with other countries
(H) DK/Refused
(I) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(J) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree";GAS;0,540001;0,350255;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;10.0;Likert Scale;Economy;10.0;{'A': 'Some religions are more prone to violence than others', 'B': 'All religions are about the same when it comes to violence', 'C': 'Neither (VOL)', 'D': 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'E': 'Many of the problems facing our country can be solved by working with other countries', 'F': 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'G': 'Few of the problems facing our country can be solved by working with other countries', 'H': 'DK/Refused', 'I': 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'J': 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'};A;A;Some religions are more prone to violence than others;Some religions are more prone to violence than others;0.3348076298342541;0.7005534861878453;1.0
145;145;145;On another topic, in your view, is global climate change a very serious problem, somewhat serious, not too serious, or not a problem?;{'United States': [0.37755102040816324, 0.336734693877551, 0.15306122448979592, 0.1326530612244898], 'Britain': [0.40404040404040403, 0.35353535353535354, 0.16161616161616163, 0.08080808080808081]};['Very serious', 'Somewhat serious', 'Not too serious', 'Not a problem'];"(A) Very serious
(B) Somewhat serious
(C) Not too serious
(D) Not a problem";GAS;0,377552;0,404041;Very serious;Very serious;4.0;Likert Scale;Media & Technology;4.0;{'A': 'Very serious', 'B': 'Somewhat serious', 'C': 'Not too serious', 'D': 'Not a problem'};A;A;Very serious;Very serious;1.0;1.0;1.0
146;146;146;I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? h. Global poverty;{'United States': [0.5656565656565656, 0.3333333333333333, 0.09090909090909091, 0.010101010101010102], 'Britain': [0.51, 0.39, 0.09, 0.01]};['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];"(A) Major threat
(B) Minor threat
(C) Not a threat
(D) DK/Refused";GAS;0,565658;0,510001;Major threat;Major threat;4.0;Likert Scale;Economy;4.0;{'A': 'Major threat', 'B': 'Minor threat', 'C': 'Not a threat', 'D': 'DK/Refused'};A;A;Major threat;Major threat;1.0;1.0;0.0
147;147;147;Please tell me if you agree or disagree with the following statement...Men get more opportunities than women for jobs that pay well, even when women are as qualified as men for the job;{'United States': [0.26804123711340205, 0.4329896907216495, 0.20618556701030927, 0.09278350515463918], 'Britain': [0.31958762886597936, 0.4020618556701031, 0.15463917525773196, 0.12371134020618557]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree";GAS;0,432991;0,402063;Mostly agree;Mostly agree;4.0;Likert Scale;Social Dynamics;4.0;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree'};C;C;Mostly disagree;Mostly disagree;0.7922087922077922;0.7922087922077922;1.0
148;148;148;Do you think most Muslims in our country today want to adopt your country customs and way of life or do you think they want to be distinct from the larger your country society?;{'United States': [0.375, 0.5795454545454546, 0.045454545454545456], 'Britain': [0.3146067415730337, 0.5842696629213483, 0.10112359550561797]};['Adopt our ways', 'Want to be distinct', 'Both (VOL)'];"(A) Adopt our ways
(B) Want to be distinct
(C) Both (VOL)";GAS;0,579546;0,584271;Want to be distinct;Want to be distinct;3.0;Likert Scale;Economy;3.0;{'A': 'Adopt our ways', 'B': 'Want to be distinct', 'C': 'Both (VOL)'};B;B;Want to be distinct;Want to be distinct;1.0;1.0;1.0
149;149;149;Which statement comes closer to your own views, even if neither is exactly right? Hosting the World Cup is a good thing for Brazil, because it will create more jobs and help the economy, or Hosting the World Cup is a bad thing for Brazil, because we are spending money that should be used for schools, health care and other public services.;{'United States': [0.0, 0.0, 0.0, 0.0, 0.54, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.0, 0.0, 0.3401015228426396, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088]};['Good', 'Bad', 'Both/neither (VOL)', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];"(A) Good
(B) Bad
(C) Both/neither (VOL)
(D) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(E) Many of the problems facing our country can be solved by working with other countries
(F) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(G) Few of the problems facing our country can be solved by working with other countries
(H) DK/Refused
(I) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(J) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree";GAS;0,540001;0,350255;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;10.0;Multiple Choice;Politics;10.0;{'A': 'Good', 'B': 'Bad', 'C': 'Both/neither (VOL)', 'D': 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'E': 'Many of the problems facing our country can be solved by working with other countries', 'F': 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'G': 'Few of the problems facing our country can be solved by working with other countries', 'H': 'DK/Refused', 'I': 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'J': 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'};C;C;Both/neither (VOL);Both/neither (VOL);0.0;0.0;1.0
150;150;150;I'd like to ask your opinion about some international issues.Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...global climate change ;{'United States': [0.42424242424242425, 0.32323232323232326, 0.09090909090909091, 0.16161616161616163], 'Britain': [0.38, 0.37, 0.16, 0.09]};['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned'];"(A) Very concerned
(B) Somewhat concerned
(C) Not too concerned
(D) Not at all concerned";GAS;0,424243;0,380001;Very concerned;Very concerned;4.0;Likert Scale;Economy;4.0;{'A': 'Very concerned', 'B': 'Somewhat concerned', 'C': 'Not too concerned', 'D': 'Not at all concerned'};B;B;Somewhat concerned;Somewhat concerned;0.7857152857142857;0.7857152857142857;1.0
